CompID	MZ	Time	isotopes	adduct	pcgroup	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	bio	blank	200825_001_scan049_I	200825_002_scan034_I	200825_003_scan011_I	200825_004_scan015_I	200825_005_scan017_I	200825_006_scan021_I	200825_007_scan021_I	200825_008_scan025_I	200825_009_scan020_I	200825_010_scan016_I	200825_011_scan020_I	200825_012_scan017_I	200825_013_scan013_I	200825_014_scan019_I	200825_015_scan017_I	200825_016_scan015_I	200825_017_scan015_I	200825_018_scan018_I	200825_019_scan022_I	200825_020_scan020_I	200825_021_scan013_I	200825_022_scan014_I	200825_023_scan021_I	200825_024_scan013_I	200825_025_scan014_I	200825_026_scan011_I	200825_027_scan013_I	200825_028_scan019_I	200825_029_scan019_I
568	381.264	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7512.590295	5620.344922	4125.364932	6587.549525	10726.26163	9761.353927	8157.444722	8025.573787	7847.181591	12103.10305	10116.55928	10634.48749	10376.38419	10131.92471	7725.556028	9609.474237	9212.297149	7417.914457	10827.57129	10426.17734	12972.13057	11779.02151	8403.376188	9942.28064	10266.14257	7439.167584	9988.723862	3790.845673	9022.20085
569	381.272	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7661.845884	4005.633975	5464.900175	7055.989492	11182.66375	8266.66725	9425.89317	7566.938704	9125.854641	10602.42382	9311.09282	11292.7373	9059.488616	9004.704028	8539.105079	11416.85989	9919.97373	8587.691769	12303.90893	11919.69877	14084.43608	12231.91769	9597.844133	10689.61296	11527.45709	8502.462347	8804.490368	3825.556918	7027.756567
570	382.233	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25988.84192	11810.61181	14362.61631	15931.81241	39993.54127	22379.2949	30598.55903	23034.08329	23609.38744	39028.30165	24875.21836	27995.4047	32287.95623	23300.96473	23084.21886	23943.48799	24886.76963	25226.04652	29264.6088	29657.68609	24581.59205	28819.74037	26493.65583	21118.57279	19544.65658	22607.59055	21607.9092	11947.76138	18481.3064
571	383.211	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14444.12658	6296.443038	6111.405063	6523.822785	14753.91139	8159.924051	10498.41772	12057.22785	8688.556962	12780.22785	7376.658228	10190.03797	14028.79747	8743.544304	8677.316456	9156.632911	9869.329114	10318.27848	8793.063291	10847.29114	8050.746835	13013.25316	10481.6962	8177.278481	5871.835443	9065.417722	8170.025316	4590.822785	11418.4557
572	383.234	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11976.01986	6957.797418	7674.586892	9493.779543	20574.72095	10007.63853	13928.58788	16020.99206	11073.51241	16288.89176	9374.320755	12723.67925	14946.60576	11028.95432	11994.71599	11244.52036	12489.93347	10972.85303	13200.429	15304.43098	12456.34062	14128.70109	14440.05958	13524.81231	10864.40318	10897.56008	11188.47567	5392.047666	9454.647468
573	383.287	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4663.792896	2197.769385	2594.810905	3109.374687	6418.317659	3942.427714	5029.021511	3584.970986	4201.463232	6261.009004	4022.142571	4940.823912	5283.894947	4439.035018	3375.563282	4288.478739	4576.394197	3445.30015	5629.823412	4354.824912	6184.331166	5978.388194	5453.324162	5412.132066	5216.710855	3954.992996	5151.014507	1997.495748	4030.298149
574	384.198	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7569.680238	3224.575968	3793.598808	3714.48858	8127.9285	3835.57001	6222.914598	6458.94141	4462.119166	6045.36147	4243.794439	4700.437934	6479.922542	3924.508441	5373.901688	4763.777557	4185.716981	5246.331678	4966.186693	5665.838133	4397.11718	6852.805362	6705.763654	5108.226415	3274.969215	4171.287984	3891.233366	2772.08143	5176.236346
575	384.214	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7562.647824	4930.935718	3546.607304	4114.191096	6156.49975	3234.022011	6294.075788	7582.942971	4728.365683	7306.704602	4331.829165	4565.971986	8467.647824	4442.962731	4744.653327	4783.144072	4976.27964	6700.695098	5385.257129	6916.031266	5449.795898	6575.427714	7163.868934	6002.675338	3788.274637	5859.592796	5106.149825	3430.758629	6292.61956
576	384.221	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8489.57994	3380.685948	3109.648957	3943.523585	9814.304618	3926.879841	4719.635551	6711.857001	4146.780288	6479.16708	5267.865938	5729.756455	8008.071251	4969.913853	4619.85576	5996.039474	5248.00571	6648.86718	5527.535253	7268.915591	5046.753972	7786.952085	6718.065541	6542.852532	3925.898461	6562.539225	3991.489573	3290.228401	4872.717974
577	384.229	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7186.261668	3292.894489	2779.955065	3747.116187	9038.411867	5220.401936	7257.437686	7739.290715	5124.851043	8095.094091	5128.527061	6832.999255	7599.546425	4825.073734	5766.159136	7185.584161	5923.257696	6233.709782	6371.881331	7499.696624	6588.995035	6140.24851	5251.885055	6982.230139	3786.961768	4981.541212	4654.455809	2902.483366	5626.090864
